Country,Year-Month,Above_Threshold_Count
Argentina,2023-01,53
Argentina,2023-02,66
Argentina,2023-03,69
Argentina,2023-04,71
Argentina,2023-05,67
Argentina,2023-06,69
Argentina,2023-07,82
Argentina,2023-08,66
Argentina,2023-09,55
Argentina,2023-10,108
Argentina,2023-11,107
Argentina,2023-12,98
Argentina,2024-01,90
Argentina,2024-02,76
Argentina,2024-03,59
Argentina,2024-04,79
Argentina,2024-05,65
Argentina,2024-06,35
Argentina,2024-07,64
Argentina,2024-08,67
Argentina,2024-09,75
Argentina,2024-10,92
Argentina,2024-11,90
Argentina,2024-12,100
Australia,2023-01,305
Australia,2023-02,290
Australia,2023-03,375
Australia,2023-04,355
Australia,2023-05,350
Australia,2023-06,353
Australia,2023-07,316
Australia,2023-08,311
Australia,2023-09,388
Australia,2023-10,545
Australia,2023-11,604
Australia,2023-12,501
Australia,2024-01,408
Australia,2024-02,366
Australia,2024-03,315
Australia,2024-04,376
Australia,2024-05,360
Australia,2024-06,228
Australia,2024-07,321
Australia,2024-08,313
Australia,2024-09,395
Australia,2024-10,497
Australia,2024-11,538
Australia,2024-12,461
Brazil,2023-01,379
Brazil,2023-02,386
Brazil,2023-03,507
Brazil,2023-04,450
Brazil,2023-05,476
Brazil,2023-06,420
Brazil,2023-07,393
Brazil,2023-08,410
Brazil,2023-09,447
Brazil,2023-10,642
Brazil,2023-11,659
Brazil,2023-12,607
Brazil,2024-01,494
Brazil,2024-02,469
Brazil,2024-03,388
Brazil,2024-04,461
Brazil,2024-05,455
Brazil,2024-06,313
Brazil,2024-07,376
Brazil,2024-08,399
Brazil,2024-09,489
Brazil,2024-10,656
Brazil,2024-11,602
Brazil,2024-12,566
Canada,2023-01,330
Canada,2023-02,293
Canada,2023-03,394
Canada,2023-04,360
Canada,2023-05,372
Canada,2023-06,384
Canada,2023-07,337
Canada,2023-08,310
Canada,2023-09,365
Canada,2023-10,531
Canada,2023-11,602
Canada,2023-12,534
Canada,2024-01,412
Canada,2024-02,396
Canada,2024-03,313
Canada,2024-04,354
Canada,2024-05,367
Canada,2024-06,231
Canada,2024-07,303
Canada,2024-08,317
Canada,2024-09,391
Canada,2024-10,505
Canada,2024-11,498
Canada,2024-12,526
China,2023-01,410
China,2023-02,380
China,2023-03,469
China,2023-04,439
China,2023-05,463
China,2023-06,437
China,2023-07,401
China,2023-08,378
China,2023-09,445
China,2023-10,658
China,2023-11,718
China,2023-12,633
China,2024-01,510
China,2024-02,505
China,2024-03,419
China,2024-04,427
China,2024-05,427
China,2024-06,300
China,2024-07,421
China,2024-08,370
China,2024-09,525
China,2024-10,688
China,2024-11,592
China,2024-12,584
France,2023-01,290
France,2023-02,289
France,2023-03,340
France,2023-04,369
France,2023-05,326
France,2023-06,322
France,2023-07,313
France,2023-08,288
France,2023-09,345
France,2023-10,482
France,2023-11,464
France,2023-12,410
France,2024-01,349
France,2024-02,361
France,2024-03,313
France,2024-04,291
France,2024-05,331
France,2024-06,192
France,2024-07,287
France,2024-08,291
France,2024-09,358
France,2024-10,433
France,2024-11,457
France,2024-12,450
Germany,2023-01,394
Germany,2023-02,354
Germany,2023-03,398
Germany,2023-04,438
Germany,2023-05,380
Germany,2023-06,403
Germany,2023-07,378
Germany,2023-08,355
Germany,2023-09,432
Germany,2023-10,594
Germany,2023-11,668
Germany,2023-12,572
Germany,2024-01,465
Germany,2024-02,444
Germany,2024-03,346
Germany,2024-04,384
Germany,2024-05,432
Germany,2024-06,296
Germany,2024-07,388
Germany,2024-08,397
Germany,2024-09,496
Germany,2024-10,587
Germany,2024-11,585
Germany,2024-12,558
India,2023-01,1048
India,2023-02,976
India,2023-03,1246
India,2023-04,1101
India,2023-05,1085
India,2023-06,1099
India,2023-07,1024
India,2023-08,979
India,2023-09,1110
India,2023-10,1575
India,2023-11,1796
India,2023-12,1446
India,2024-01,1269
India,2024-02,1264
India,2024-03,1000
India,2024-04,1081
India,2024-05,1081
India,2024-06,778
India,2024-07,1014
India,2024-08,1023
India,2024-09,1254
India,2024-10,1605
India,2024-11,1547
India,2024-12,1485
Indonesia,2023-01,143
Indonesia,2023-02,117
Indonesia,2023-03,142
Indonesia,2023-04,116
Indonesia,2023-05,153
Indonesia,2023-06,135
Indonesia,2023-07,137
Indonesia,2023-08,138
Indonesia,2023-09,151
Indonesia,2023-10,208
Indonesia,2023-11,219
Indonesia,2023-12,175
Indonesia,2024-01,161
Indonesia,2024-02,138
Indonesia,2024-03,119
Indonesia,2024-04,142
Indonesia,2024-05,169
Indonesia,2024-06,89
Indonesia,2024-07,131
Indonesia,2024-08,119
Indonesia,2024-09,167
Indonesia,2024-10,199
Indonesia,2024-11,194
Indonesia,2024-12,196
Italy,2023-01,378
Italy,2023-02,347
Italy,2023-03,418
Italy,2023-04,379
Italy,2023-05,343
Italy,2023-06,369
